,id,title,release_date,popularity,vote_average
0,278,The Shawshank Redemption,1994-09-23,54.3421,8.718
1,238,The Godfather,1972-03-14,37.5871,8.687
2,240,The Godfather Part II,1974-12-20,27.3548,8.572
3,424,Schindler's List,1993-12-15,27.0963,8.567
4,389,12 Angry Men,1957-04-10,21.0975,8.558
5,1181678,¿Quieres ser mi hijo?,2023-09-21,8.1947,8.551
6,129,Spirited Away,2001-07-20,38.7741,8.5
7,155,The Dark Knight,2008-07-16,35.973,8.528
8,19404,Dilwale Dulhania Le Jayenge,1995-10-20,15.5893,8.515
9,497,The Green Mile,1999-12-10,31.2939,8.504
10,122,The Lord of the Rings: The Return of the King,2003-12-17,32.6819,8.496
11,496243,Parasite,2019-05-30,33.2972,8.493
12,680,Pulp Fiction,1994-09-10,31.0417,8.486
13,372058,Your Name.,2016-08-26,30.9101,8.477
14,157336,Interstellar,2014-11-05,60.3515,8.469
15,429,"The Good, the Bad and the Ugly",1966-12-23,22.2753,8.468
16,13,Forrest Gump,1994-06-23,26.7286,8.463
17,769,GoodFellas,1990-09-12,30.3997,8.452
18,346,Seven Samurai,1954-04-26,17.5386,8.451
19,12477,Grave of the Fireflies,1988-04-16,0.0146,8.4
20,637,Life Is Beautiful,1997-12-20,13.8025,8.439
21,550,Fight Club,1999-10-15,26.1183,8.439
22,14537,Harakiri,1962-09-15,10.0296,8.436
23,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,32.2257,8.43
24,598,City of God,2002-08-30,14.4897,8.429
25,11216,Cinema Paradiso,1988-11-17,9.7693,8.4
26,40096,A Dog's Will,2000-09-15,4.1833,8.421
27,539,Psycho,1960-06-22,15.1154,8.416
28,667257,Impossible Things,2021-06-17,3.8181,8.4
29,121,The Lord of the Rings: The Two Towers,2002-12-18,20.5589,8.414
30,510,One Flew Over the Cuckoo's Nest,1975-11-19,13.2213,8.412
31,255709,Hope,2013-10-02,7.5983,8.396
32,324857,Spider-Man: Into the Spider-Verse,2018-12-06,23.8237,8.394
33,1891,The Empire Strikes Back,1980-05-20,10.8065,8.392
34,696374,Gabriel's Inferno,2020-05-29,3.5074,8.4
35,4935,Howl's Moving Castle,2004-09-09,21.5225,8.387
36,378064,A Silent Voice: The Movie,2016-09-17,13.878,8.386
37,311,Once Upon a Time in America,1984-05-23,13.089,8.383
38,807,Se7en,1995-09-22,23.5156,8.38
39,423,The Pianist,2002-09-17,15.1054,8.376
40,244786,Whiplash,2014-10-10,21.7915,8.4
41,770156,Lucy Shimmers and the Prince of Peace,2020-10-19,6.1552,8.373
42,27205,Inception,2010-07-15,33.2971,8.371
43,724089,Gabriel's Inferno: Part II,2020-07-31,4.0578,8.366
44,761053,Gabriel's Inferno: Part III,2020-11-19,5.3824,8.4
45,12493,High and Low,1963-03-01,7.8096,8.351
46,274,The Silence of the Lambs,1991-02-14,4.9954,8.345
47,567,Rear Window,1954-08-01,8.2526,8.341
48,569094,Spider-Man: Across the Spider-Verse,2023-05-31,29.8821,8.331
49,73,American History X,1998-07-01,12.6928,8.327
50,1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,35.1964,8.3
51,128,Princess Mononoke,1997-07-12,16.5801,8.324
52,105,Back to the Future,1985-07-03,22.4584,8.324
53,1058694,Radical,2023-10-19,3.9831,8.322
54,820067,The Quintessential Quintuplets Movie,2022-05-20,7.0281,8.3
55,1184918,The Wild Robot,2024-09-12,24.5629,8.307
56,3782,Ikiru,1952-10-09,7.109,8.3
57,372754,Dou kyu sei – Classmates,2016-02-20,5.0531,8.303
58,10494,Perfect Blue,1998-02-28,12.5368,8.3
59,620249,The Legend of Hei,2019-08-27,6.4493,8.301
60,207,Dead Poets Society,1989-06-02,15.8939,8.301
61,533514,Violet Evergarden: The Movie,2020-09-18,7.6318,8.3
62,101,Léon: The Professional,1994-09-14,19.465,8.295
63,42269,We All Loved Each Other So Much,1974-12-21,3.3343,8.289
64,644479,Dedicated to my ex,2019-11-01,2.9036,8.3
